title,slug,url,area,phone,website,pricing_display,shared_price,private_price,care_types,services,religion,languages,subsidy,wheelchair,rating,review_count,latitude,longitude,google_maps_url,last_updated
JR Segamat Care Centre,jr-segamat-care-centre,/facilities/jr-segamat-care-centre,,+60 12-988 7429,https://johnsonresidence.com.my/,Call for pricing,,,Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, transport, activities",Tamil-friendly,"English, BM, Mandarin",Unknown,,5.0,1,2.4937193,102.8643258,"https://www.google.com/maps/place/JR+Segamat+Care+Centre/@2.4937193,102.86432579999999,14z/data=!4m8!1m2!2m1!1sJR+Segamat+Care+Centre!3m4!1s0x31cfd396ce3055d9:0xfb462f4b8f65d671!8m2!3d2.4937193!4d102.86432579999999",2026-04-29
Golden Age Care Centre,golden-age-care-centre,/facilities/golden-age-care-centre,,+60 12-988 7711,https://www.facebook.com/goldenagecc,Call for pricing,,,,,,,,,3.9,8,2.0768552,102.5818204,"https://www.google.com/maps/place/Golden+Age+Care+Centre/@2.0768552,102.5818204,14z/data=!4m8!1m2!2m1!1sGolden+Age+Care+Centre!3m4!1s0x31d1b96b13ab91f5:0xcfaf2291c89c24d9!8m2!3d2.0768552!4d102.5818204",2026-04-29
Cozzi Confinement Center | Yong Peng 娘家精致月子中心,cozzi-confinement-center-yong-peng,/facilities/cozzi-confinement-center-yong-peng,,+60 12-724 1013,https://cozziconfinement.com.my/,Call for pricing,,,Nursing Home,"meals, laundry, nursing_care, transport, activities",Chinese-run,"English, Mandarin",Unknown,,,0,2.020674,103.0811192,"https://www.google.com/maps/place/Cozzi+Confinement+Center+%7C+Yong+Peng+%E5%A8%98%E5%AE%B6%E7%B2%BE%E8%87%B4%E6%9C%88%E5%AD%90%E4%B8%AD%E5%BF%83/@2.020674,103.08111919999999,14z/data=!4m8!1m2!2m1!1sCozzi+Confinement+Center+%7C+Yong+Peng+%E5%A8%98%E5%AE%B6%E7%B2%BE%E8%87%B4%E6%9C%88%E5%AD%90%E4%B8%AD%E5%BF%83!3m4!1s0x31d04770f42e8509:0xef67629416af808d!8m2!3d2.020674!4d103.08111919999999",2026-04-29
Haywood Senior Living Medini Johor Bahru,haywood-senior-living-medini-johor-bahru,/facilities/haywood-senior-living-medini-johor-bahru,Johor Bahru,+60 11-5587 9788,https://haywoodliving.co/,Call for pricing,,,Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, nursing_care, physio, doctor_visit, transport, activities, dementia_care, palliative",All,"English, BM, Mandarin",Unknown,Yes,5.0,40,1.4214148,103.6298446,"https://www.google.com/maps/place/Haywood+Senior+Living+Medini+Johor+Bahru/@1.4214148,103.6298446,14z/data=!4m8!1m2!2m1!1sHaywood+Senior+Living+Medini+Johor+Bahru!3m4!1s0x31da0b3344abd2cf:0x30403f4dde3c1657!8m2!3d1.4214148!4d103.6298446",2026-04-29
Peaceful Nest Special Care Centre 康宁特殊照护中心,peaceful-nest-special-care-centre,/facilities/peaceful-nest-special-care-centre,,+60 11-1638 2513,,Call for pricing,,,,,,,,,5.0,1,2.4957857,102.8475575,"https://www.google.com/maps/place/Peaceful+Nest+Special+Care+Centre+%E5%BA%B7%E5%AE%81%E7%89%B9%E6%AE%8A%E7%85%A7%E6%8A%A4%E4%B8%AD%E5%BF%83/@2.4957857,102.8475575,14z/data=!4m8!1m2!2m1!1sPeaceful+Nest+Special+Care+Centre+%E5%BA%B7%E5%AE%81%E7%89%B9%E6%AE%8A%E7%85%A7%E6%8A%A4%E4%B8%AD%E5%BF%83!3m4!1s0x31cfd341805bc53b:0xd2020d55edc66e02!8m2!3d2.4957857!4d102.8475575",2026-04-29
Pusat Jagaan Warga Istimewa Triple One Tangkak,pusat-jagaan-warga-istimewa-triple-one-tangkak,/facilities/pusat-jagaan-warga-istimewa-triple-one-tangkak,,+60 16-200 8448,,Call for pricing,,,,,,,,,4.9,8,2.3072506,102.6085552,"https://www.google.com/maps/place/Pusat+Jagaan+Warga+Istimewa+Triple+One+Tangkak/@2.3072505999999997,102.6085552,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Warga+Istimewa+Triple+One+Tangkak!3m4!1s0x31d1db002d997541:0x45887fec2ffc9465!8m2!3d2.3072505999999997!4d102.6085552",2026-04-29
Ru Jia Care Center 如家特殊托顾中心,ru-jia-care-center,/facilities/ru-jia-care-center,,,,Call for pricing,,,,,,,,,5.0,5,2.4973494,102.8662686,"https://www.google.com/maps/place/Ru+Jia+Care+Center+%E5%A6%82%E5%AE%B6%E7%89%B9%E6%AE%8A%E6%89%98%E9%A1%BE%E4%B8%AD%E5%BF%83/@2.4973494,102.8662686,14z/data=!4m8!1m2!2m1!1sRu+Jia+Care+Center+%E5%A6%82%E5%AE%B6%E7%89%B9%E6%AE%8A%E6%89%98%E9%A1%BE%E4%B8%AD%E5%BF%83!3m4!1s0x31cfd3ffdceb75b7:0xaf64abc64c03e28c!8m2!3d2.4973494!4d102.8662686",2026-04-29
GOLDEN AGE CARE CENTRE TANGKAK,golden-age-care-centre-tangkak,/facilities/golden-age-care-centre-tangkak,,+60 18-952 7711,https://gacc.com.my/,Call for pricing,,,Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, nursing_care, physio, transport, activities, dementia_care",All,"English, BM, Mandarin",Unknown,,4.0,3,2.268128,102.5525229,"https://www.google.com/maps/place/GOLDEN+AGE+CARE+CENTRE+TANGKAK/@2.268128,102.5525229,14z/data=!4m8!1m2!2m1!1sGOLDEN+AGE+CARE+CENTRE+TANGKAK!3m4!1s0x31d1db31f191a395:0xee3da8b449145608!8m2!3d2.268128!4d102.5525229",2026-04-29
Dynamic Home Care James,dynamic-home-care-james,/facilities/dynamic-home-care-james,,,,Call for pricing,,,,,,,,,,0,2.2313166,102.6259179,"https://www.google.com/maps/place/Dynamic+Home+Care+James/@2.2313166,102.62591789999999,14z/data=!4m8!1m2!2m1!1sDynamic+Home+Care+James!3m4!1s0x31d1cf772c58aee1:0x47ade5052da31ab4!8m2!3d2.2313166!4d102.62591789999999",2026-04-29
Pusat Jagaan Murni Bahagia,pusat-jagaan-murni-bahagia,/facilities/pusat-jagaan-murni-bahagia,,+60 12-972 8982,,Call for pricing,,,,,,,,Yes,3.0,2,2.4863195,102.8542506,"https://www.google.com/maps/place/Pusat+Jagaan+Murni+Bahagia/@2.4863195,102.8542506,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Murni+Bahagia!3m4!1s0x31cfd39d27debac1:0x6826b4eba332dd7e!8m2!3d2.4863195!4d102.8542506",2026-04-29
Rumah Orang Tua Bukit Siput 武吉仕砵老人院,rumah-orang-tua-bukit-siput,/facilities/rumah-orang-tua-bukit-siput,,,,Call for pricing,,,,,,,,Yes,5.0,1,2.4862165,102.8474882,"https://www.google.com/maps/place/Rumah+Orang+Tua+Bukit+Siput+%E6%AD%A6%E5%90%89%E4%BB%95%E7%A0%B5%E8%80%81%E4%BA%BA%E9%99%A2/@2.4862165,102.8474882,14z/data=!4m8!1m2!2m1!1sRumah+Orang+Tua+Bukit+Siput+%E6%AD%A6%E5%90%89%E4%BB%95%E7%A0%B5%E8%80%81%E4%BA%BA%E9%99%A2!3m4!1s0x31cfd3982297d703:0x2043d547dce5731d!8m2!3d2.4862165!4d102.8474882",2026-04-29
Summer Eldercare Johor Bahru,summer-eldercare-johor-bahru,/facilities/summer-eldercare-johor-bahru,Johor Bahru,+60 17-220 3342,https://summereldercare.my.canva.site/,Call for pricing,,,Nursing Home,,All,"English, BM",Unknown,,5.0,5,1.5306752,103.7716821,"https://www.google.com/maps/place/Summer+Eldercare+Johor+Bahru/@1.5306752,103.77168209999999,14z/data=!4m8!1m2!2m1!1sSummer+Eldercare+Johor+Bahru!3m4!1s0x31da6f5405285b07:0xf50e52ef1e216605!8m2!3d1.5306752!4d103.77168209999999",2026-04-29
Pusat Jagaan Warga Emas Nur Ehsan Tangkak,pusat-jagaan-warga-emas-nur-ehsan-tangkak,/facilities/pusat-jagaan-warga-emas-nur-ehsan-tangkak,,+60 12-925 1995,,Call for pricing,,,,,,,,Yes,,0,2.2757253,102.5423144,"https://www.google.com/maps/place/Pusat+Jagaan+Warga+Emas+Nur+Ehsan+Tangkak/@2.2757253,102.5423144,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Warga+Emas+Nur+Ehsan+Tangkak!3m4!1s0x31d1db79a30bd985:0x95d365be594b12d3!8m2!3d2.2757253!4d102.5423144",2026-04-29
Pusat jagaan kebajikan Manna Sinar Cahaya,pusat-jagaan-kebajikan-manna-sinar-cahaya,/facilities/pusat-jagaan-kebajikan-manna-sinar-cahaya,,+60 10-824 0997,,Call for pricing,,,,,,,,Yes,3.9,7,1.5560769,103.8069728,"https://www.google.com/maps/place/Pusat+jagaan+kebajikan+Manna+Sinar+Cahaya/@1.5560768999999999,103.8069728,14z/data=!4m8!1m2!2m1!1sPusat+jagaan+kebajikan+Manna+Sinar+Cahaya!3m4!1s0x31da6d3ecc1590d7:0x3c442470ee488d9f!8m2!3d1.5560768999999999!4d103.8069728",2026-04-29
Master Nursing Care Centre @Daya,master-nursing-care-centre-daya,/facilities/master-nursing-care-centre-daya,,,https://www.facebook.com/carecentrejbmsia/,Call for pricing,,,,,,,,Yes,5.0,4,1.5441562,103.7582849,"https://www.google.com/maps/place/Master+Nursing+Care+Centre+%40Daya/@1.5441562,103.75828489999999,14z/data=!4m8!1m2!2m1!1sMaster+Nursing+Care+Centre+%40Daya!3m4!1s0x31da6d5d618c489d:0x5d201f6cea53f68e!8m2!3d1.5441562!4d103.75828489999999",2026-04-29
"Hibiscus Serenity Care Centre || 疗养院 Nursing Home in Larkin, Johor Bahru (JB)",hibiscus-serenity-care-centre-nursing-home-in-larkin-johor-b,/facilities/hibiscus-serenity-care-centre-nursing-home-in-larkin-johor-b,Johor Bahru,+60 12-777 6673,https://www.hibiscus-care.com/,Call for pricing,,,Nursing Home + Day Care + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, transport",Chinese-run,"English, BM",Unknown,Yes,5.0,7,1.5138497,103.7414915,"https://www.google.com/maps/place/Hibiscus+Serenity+Care+Centre+%7C%7C+%E7%96%97%E5%85%BB%E9%99%A2+Nursing+Home+in+Larkin%2C+Johor+Bahru+%28JB%29/@1.5138497,103.7414915,14z/data=!4m8!1m2!2m1!1sHibiscus+Serenity+Care+Centre+%7C%7C+%E7%96%97%E5%85%BB%E9%99%A2+Nursing+Home+in+Larkin%2C+Johor+Bahru+%28JB%29!3m4!1s0x31da6d490e66d95f:0xc7a5c7831897eb26!8m2!3d1.5138497!4d103.7414915",2026-04-29
Ren Ren Nursing Care Homes,ren-ren-nursing-care-homes,/facilities/ren-ren-nursing-care-homes,,+60 17-680 7528,,Call for pricing,,,,,,,,Yes,3.0,8,1.5143427,103.7642518,"https://www.google.com/maps/place/Ren+Ren+Nursing+Care+Homes/@1.5143427,103.7642518,14z/data=!4m8!1m2!2m1!1sRen+Ren+Nursing+Care+Homes!3m4!1s0x31da6d622f0f9425:0x4751a187f0d3f495!8m2!3d1.5143427!4d103.7642518",2026-04-29
Aminah Golden Care Centre,aminah-golden-care-centre,/facilities/aminah-golden-care-centre,,+60 11-1275 8485,,Call for pricing,,,,,,,,,,0,1.637465,103.2870903,"https://www.google.com/maps/place/Aminah+Golden+Care+Centre/@1.637465,103.28709029999999,14z/data=!4m8!1m2!2m1!1sAminah+Golden+Care+Centre!3m4!1s0x31d08d9afa11605b:0x649e49c35fa4a66e!8m2!3d1.637465!4d103.28709029999999",2026-04-29
Pine Tree Home Care Centre,pine-tree-home-care-centre,/facilities/pine-tree-home-care-centre,,+60 19-776 6666,,Call for pricing,,,,,,,,Yes,3.0,1,1.4941937,103.3947676,"https://www.google.com/maps/place/Pine+Tree+Home+Care+Centre/@1.4941936999999998,103.3947676,14z/data=!4m8!1m2!2m1!1sPine+Tree+Home+Care+Centre!3m4!1s0x31d099b7f98fd47d:0x2b4c33e1116c231d!8m2!3d1.4941936999999998!4d103.3947676",2026-04-29
Roseville Villa Residential Home Care,roseville-villa-residential-home-care,/facilities/roseville-villa-residential-home-care,,+60 7-687 3577,,Call for pricing,,,,,,,,Yes,3.5,4,1.49424,103.395,"https://www.google.com/maps/place/Roseville+Villa+Residential+Home+Care/@1.49424,103.395,14z/data=!4m8!1m2!2m1!1sRoseville+Villa+Residential+Home+Care!3m4!1s0x31d098666d7efa97:0xa0c6aef239f9ec3e!8m2!3d1.49424!4d103.395",2026-04-29
Master Care Centre • Taman Abad,master-care-centre-taman-abad,/facilities/master-care-centre-taman-abad,,+60 11-1080 1805,,Call for pricing,,,,,,,,,4.7,6,1.477167,103.7571437,"https://www.google.com/maps/place/Master+Care+Centre+%E2%80%A2+Taman+Abad/@1.477167,103.7571437,14z/data=!4m8!1m2!2m1!1sMaster+Care+Centre+%E2%80%A2+Taman+Abad!3m4!1s0x31da13030da70d2f:0x2797b832e38af3d8!8m2!3d1.477167!4d103.7571437",2026-04-29
Sunrise Care Centre Sdn Bhd,sunrise-care-centre-sdn-bhd,/facilities/sunrise-care-centre-sdn-bhd,,+60 7-333 7715,https://www.rebinasunrise.com/,Call for pricing,,,Nursing Home + Rehabilitation,"nursing_care, physio, doctor_visit, activities, palliative",All,"English, BM",Unknown,Yes,5.0,3,1.4888862,103.7575633,"https://www.google.com/maps/place/Sunrise+Care+Centre+Sdn+Bhd/@1.4888861999999998,103.7575633,14z/data=!4m8!1m2!2m1!1sSunrise+Care+Centre+Sdn+Bhd!3m4!1s0x31da6d39819c82b9:0xd7bf4a7d8761faad!8m2!3d1.4888861999999998!4d103.7575633",2026-04-29
Alda Homes Eldercare,alda-homes-eldercare,/facilities/alda-homes-eldercare,,+60 10-712 8260,,Call for pricing,,,,,,,,Yes,4.2,11,1.4860613,103.756927,"https://www.google.com/maps/place/Alda+Homes+Eldercare/@1.4860613,103.75692699999999,14z/data=!4m8!1m2!2m1!1sAlda+Homes+Eldercare!3m4!1s0x31da6d3bd9d3be17:0x28a5394f73f55987!8m2!3d1.4860613!4d103.75692699999999",2026-04-29
AX Nursing Home PLT,ax-nursing-home-plt,/facilities/ax-nursing-home-plt,,+60 11-5999 9905,https://web.facebook.com/axnursinghome,Call for pricing,,,,,,,,Yes,3.0,2,1.4990707,103.7625734,"https://www.google.com/maps/place/AX+Nursing+Home+PLT/@1.4990706999999999,103.7625734,14z/data=!4m8!1m2!2m1!1sAX+Nursing+Home+PLT!3m4!1s0x31da6d41f406ca19:0xd13d712b859fd6be!8m2!3d1.4990706999999999!4d103.7625734",2026-04-29
Rebina Home Care Centre Sdn Bhd,rebina-home-care-centre-sdn-bhd,/facilities/rebina-home-care-centre-sdn-bhd,,,,Call for pricing,,,,,,,,,3.5,2,1.4854122,103.7569052,"https://www.google.com/maps/place/Rebina+Home+Care+Centre+Sdn+Bhd/@1.4854121999999998,103.75690519999999,14z/data=!4m8!1m2!2m1!1sRebina+Home+Care+Centre+Sdn+Bhd!3m4!1s0x31da6d007e2c28e5:0x7f6a98250cdb8be1!8m2!3d1.4854121999999998!4d103.75690519999999",2026-04-29
Pusat Perjagaan Orang Tua Ren Ai 仁愛安老院,pusat-perjagaan-orang-tua-ren-ai,/facilities/pusat-perjagaan-orang-tua-ren-ai,,+60 7-599 1944,https://www.facebook.com/RenAiSenai/,Call for pricing,,,,,,,,Yes,,0,1.6286145,103.6356158,"https://www.google.com/maps/place/Pusat+Perjagaan+Orang+Tua+Ren+Ai+%E4%BB%81%E6%84%9B%E5%AE%89%E8%80%81%E9%99%A2/@1.6286144999999999,103.6356158,14z/data=!4m8!1m2!2m1!1sPusat+Perjagaan+Orang+Tua+Ren+Ai+%E4%BB%81%E6%84%9B%E5%AE%89%E8%80%81%E9%99%A2!3m4!1s0x31da77e54e82d2d1:0x72c548a649d5e8fd!8m2!3d1.6286144999999999!4d103.6356158",2026-04-29
MK ELDERCARE CENTRE 乐樂龄,mk-eldercare-centre,/facilities/mk-eldercare-centre,,+60 10-798 5622,,Call for pricing,,,,,,,,,5.0,2,1.5788511,103.8111516,"https://www.google.com/maps/place/MK+ELDERCARE+CENTRE+%E4%B9%90%E6%A8%82%E9%BE%84/@1.5788510999999998,103.8111516,14z/data=!4m8!1m2!2m1!1sMK+ELDERCARE+CENTRE+%E4%B9%90%E6%A8%82%E9%BE%84!3m4!1s0x31da6d7298674421:0xc1393be82548e423!8m2!3d1.5788510999999998!4d103.8111516",2026-04-29
Fu Ka Care Center,fu-ka-care-center,/facilities/fu-ka-care-center,,+60 19-381 4521,https://web.facebook.com/fukacarecenter,Call for pricing,,,,,,,,Yes,5.0,24,1.5244638,103.7048526,"https://www.google.com/maps/place/Fu+Ka+Care+Center/@1.5244638,103.7048526,14z/data=!4m8!1m2!2m1!1sFu+Ka+Care+Center!3m4!1s0x31da737dbe42e527:0xd207a1e0a7836c23!8m2!3d1.5244638!4d103.7048526",2026-04-29
Pusat Jagaan Orang Tua Yeo JB,pusat-jagaan-orang-tua-yeo-jb,/facilities/pusat-jagaan-orang-tua-yeo-jb,Johor Bahru,+60 16-717 3127,https://www.facebook.com/gracehome.yeo,Call for pricing,,,,,,,,Yes,,0,1.537067,103.697532,"https://www.google.com/maps/place/Pusat+Jagaan+Orang+Tua+Yeo+JB/@1.537067,103.697532,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Orang+Tua+Yeo+JB!3m4!1s0x31da12d9acd2a987:0xc33c673cd9078dbd!8m2!3d1.537067!4d103.697532",2026-04-29
Pusat Jagaan Warga Emas Nur Ehsan,pusat-jagaan-warga-emas-nur-ehsan,/facilities/pusat-jagaan-warga-emas-nur-ehsan,,+60 7-232 6415,https://m.facebook.com/pages/category/Public-Service/Pusat-Jagaan-Warga-Emas-Nur-Ehsan-1051759248276730/,Call for pricing,,,,,,,,Yes,4.3,19,1.5209635,103.7242064,"https://www.google.com/maps/place/Pusat+Jagaan+Warga+Emas+Nur+Ehsan/@1.5209635,103.7242064,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Warga+Emas+Nur+Ehsan!3m4!1s0x31da727940fe1213:0xdcac0d23c65bb543!8m2!3d1.5209635!4d103.7242064",2026-04-29
Agape Care Centre,agape-care-centre,/facilities/agape-care-centre,,+60 7-238 6880,,Call for pricing,,,,,,,,,4.6,5,1.5290905,103.7117116,"https://www.google.com/maps/place/Agape+Care+Centre/@1.5290905,103.7117116,14z/data=!4m8!1m2!2m1!1sAgape+Care+Centre!3m4!1s0x31da726fac9eb8bf:0xa22889c86e1266d0!8m2!3d1.5290905!4d103.7117116",2026-04-29
SLG NURSING HOME Muar,slg-nursing-home-muar,/facilities/slg-nursing-home-muar,Muar,+60 11-1603 9968,,Call for pricing,,,,,,,,,5.0,1,2.0819782,102.5796798,"https://www.google.com/maps/place/SLG+NURSING+HOME+Muar/@2.0819782,102.5796798,14z/data=!4m8!1m2!2m1!1sSLG+NURSING+HOME+Muar!3m4!1s0x31d1b9007ada5487:0xbcb2dea2935e7a32!8m2!3d2.0819782!4d102.5796798",2026-04-29
SLG NURSING HOME,slg-nursing-home,/facilities/slg-nursing-home,,+60 11-1603 9968,,Call for pricing,,,,,,,,,,0,2.0819034,102.5796916,"https://www.google.com/maps/place/SLG+NURSING+HOME/@2.0819034,102.57969159999999,14z/data=!4m8!1m2!2m1!1sSLG+NURSING+HOME!3m4!1s0x31d1b987b2f4f3fd:0x1048299d9c0224d!8m2!3d2.0819034!4d102.57969159999999",2026-04-29
comfort home care centre,comfort-home-care-centre,/facilities/comfort-home-care-centre,,+60 12-696 9403,,Call for pricing,,,,,,,,Yes,5.0,5,2.065159,102.6047471,"https://www.google.com/maps/place/comfort+home+care+centre/@2.065159,102.6047471,14z/data=!4m8!1m2!2m1!1scomfort+home+care+centre!3m4!1s0x31d1b9c7efd618ad:0x4bbe1bbdf962387a!8m2!3d2.065159!4d102.6047471",2026-04-29
Sincere Heart Care Centre 爱馨养老院,sincere-heart-care-centre,/facilities/sincere-heart-care-centre,,+60 12-696 9403,,Call for pricing,,,,,,,,,5.0,2,2.0636772,102.6009967,"https://www.google.com/maps/place/Sincere+Heart+Care+Centre+%E7%88%B1%E9%A6%A8%E5%85%BB%E8%80%81%E9%99%A2/@2.0636772,102.6009967,14z/data=!4m8!1m2!2m1!1sSincere+Heart+Care+Centre+%E7%88%B1%E9%A6%A8%E5%85%BB%E8%80%81%E9%99%A2!3m4!1s0x31d1b99c821d4dbb:0xb81c5356ebb245dd!8m2!3d2.0636772!4d102.6009967",2026-04-29
Graceville Senior Care Centre 美好疗养中心,graceville-senior-care-centre,/facilities/graceville-senior-care-centre,,+60 12-611 9093,,Call for pricing,,,,,,,,Yes,4.8,9,2.0642373,102.6009954,"https://www.google.com/maps/place/Graceville+Senior+Care+Centre+%E7%BE%8E%E5%A5%BD%E7%96%97%E5%85%BB%E4%B8%AD%E5%BF%83/@2.0642373,102.6009954,14z/data=!4m8!1m2!2m1!1sGraceville+Senior+Care+Centre+%E7%BE%8E%E5%A5%BD%E7%96%97%E5%85%BB%E4%B8%AD%E5%BF%83!3m4!1s0x31d1b83831cabe5b:0xb79e8d296d4e6d3b!8m2!3d2.0642373!4d102.6009954",2026-04-29
Graceville Care Centre 美好疗养中心 (Sungai Mati),graceville-care-centre-sungai-mati,/facilities/graceville-care-centre-sungai-mati,,+60 12-611 9093,,Call for pricing,,,,,,,,Yes,,0,2.1130788,102.5512522,"https://www.google.com/maps/place/Graceville+Care+Centre+%E7%BE%8E%E5%A5%BD%E7%96%97%E5%85%BB%E4%B8%AD%E5%BF%83+%28Sungai+Mati%29/@2.1130788,102.5512522,14z/data=!4m8!1m2!2m1!1sGraceville+Care+Centre+%E7%BE%8E%E5%A5%BD%E7%96%97%E5%85%BB%E4%B8%AD%E5%BF%83+%28Sungai+Mati%29!3m4!1s0x31d1b9a569a4b2a7:0x592131c0835a3dc!8m2!3d2.1130788!4d102.5512522",2026-04-29
Wcc WoundCare & Nursing Centre,wcc-woundcare-nursing-centre,/facilities/wcc-woundcare-nursing-centre,,+60 13-379 4428,,Call for pricing,,,,,,,,Yes,5.0,1,2.0633962,102.5937467,"https://www.google.com/maps/place/Wcc+WoundCare+%26+Nursing+Centre/@2.0633962,102.5937467,14z/data=!4m8!1m2!2m1!1sWcc+WoundCare+%26+Nursing+Centre!3m4!1s0x31d1b97c9da8469d:0x11bc0cbae2880ab9!8m2!3d2.0633962!4d102.5937467",2026-04-29
Green Acres Home Care Centre- Managed By Green Acres Residence Care (Group) Sdn. Bhd.,green-acres-home-care-centre-managed-by-green-acres-residenc,/facilities/green-acres-home-care-centre-managed-by-green-acres-residenc,,+60 11-5991 9916,https://www.greenacreshome.com/,Call for pricing,,,Nursing Home + Rehabilitation,"meals, nursing_care, physio, doctor_visit, transport",All,BM,Unknown,,,0,1.468122,103.7632869,"https://www.google.com/maps/place/Green+Acres+Home+Care+Centre-+Managed+By+Green+Acres+Residence+Care+%28Group%29+Sdn.+Bhd./@1.468122,103.7632869,14z/data=!4m8!1m2!2m1!1sGreen+Acres+Home+Care+Centre-+Managed+By+Green+Acres+Residence+Care+%28Group%29+Sdn.+Bhd.!3m4!1s0x31da130678e8b3a7:0x71bf7af2878d8992!8m2!3d1.468122!4d103.7632869",2026-04-29
Ummi Naura Care Centre,ummi-naura-care-centre,/facilities/ummi-naura-care-centre,,+60 13-979 6861,http://umminauracarecentre.wordpress.com/,Call for pricing,,,Nursing Home,,All,"English, BM",Unknown,Yes,,0,2.0648796,102.5795522,"https://www.google.com/maps/place/Ummi+Naura+Care+Centre/@2.0648796,102.5795522,14z/data=!4m8!1m2!2m1!1sUmmi+Naura+Care+Centre!3m4!1s0x31d1b9d301865c1f:0x6b61b59d116a7bec!8m2!3d2.0648796!4d102.5795522",2026-04-29
Lee Nursing Home,lee-nursing-home,/facilities/lee-nursing-home,,+60 12-787 1461,,Call for pricing,,,,,,,,,,0,2.0386283,102.5712683,"https://www.google.com/maps/place/Lee+Nursing+Home/@2.0386283,102.5712683,14z/data=!4m8!1m2!2m1!1sLee+Nursing+Home!3m4!1s0x31d1b90b9fc7ee61:0x5e3962237a00947!8m2!3d2.0386283!4d102.5712683",2026-04-29
Pusat Sri Kenangan,pusat-sri-kenangan,/facilities/pusat-sri-kenangan,,+60 6-954 2489,,Call for pricing,,,,,,,,Yes,1,1,2.148053,102.6488498,"https://www.google.com/maps/place/Pusat+Sri+Kenangan/@2.148053,102.6488498,14z/data=!4m8!1m2!2m1!1sPusat+Sri+Kenangan!3m4!1s0x31d1c8ebb5658139:0x593c2307965fc82b!8m2!3d2.148053!4d102.6488498",2026-04-29
麻坡养心院,,/facilities/,,,https://www.facebook.com/share/13nx3m6WB9/%3Fmibextid%3DLQQJ4d,Call for pricing,,,,,,,,,5.0,1,2.068525,102.5684752,"https://www.google.com/maps/place/%E9%BA%BB%E5%9D%A1%E5%85%BB%E5%BF%83%E9%99%A2/@2.0685249999999997,102.5684752,14z/data=!4m8!1m2!2m1!1s%E9%BA%BB%E5%9D%A1%E5%85%BB%E5%BF%83%E9%99%A2!3m4!1s0x31d1b9002a367ee9:0x72c9dacf6f184bb8!8m2!3d2.0685249999999997!4d102.5684752",2026-04-29
Cozzi Confinement Center | Muar 娘家精致月子中心,cozzi-confinement-center-muar,/facilities/cozzi-confinement-center-muar,Muar,+60 12-712 6705,https://cozziconfinement.com.my/,Call for pricing,,,Nursing Home,"meals, laundry, nursing_care, transport, activities",Chinese-run,"English, Mandarin",Unknown,Yes,3.7,3,2.0509687,102.6076683,"https://www.google.com/maps/place/Cozzi+Confinement+Center+%7C+Muar+%E5%A8%98%E5%AE%B6%E7%B2%BE%E8%87%B4%E6%9C%88%E5%AD%90%E4%B8%AD%E5%BF%83/@2.0509687,102.6076683,14z/data=!4m8!1m2!2m1!1sCozzi+Confinement+Center+%7C+Muar+%E5%A8%98%E5%AE%B6%E7%B2%BE%E8%87%B4%E6%9C%88%E5%AD%90%E4%B8%AD%E5%BF%83!3m4!1s0x31d1b9909b001951:0x54e3e8895565f042!8m2!3d2.0509687!4d102.6076683",2026-04-29
Pusat Sri Kenangan,pusat-sri-kenangan-2,/facilities/pusat-sri-kenangan-2,,+60 6-953 9098,,Call for pricing,,,,,,,,Yes,1.0,1,2.059955,102.595189,"https://www.google.com/maps/place/Pusat+Sri+Kenangan/@2.059955,102.59518899999999,14z/data=!4m8!1m2!2m1!1sPusat+Sri+Kenangan!3m4!1s0x31d1b8497d6f4095:0x40275e07c6eea96a!8m2!3d2.059955!4d102.59518899999999",2026-04-29
WCC Home care Muar,wcc-home-care-muar,/facilities/wcc-home-care-muar,Muar,,,Call for pricing,,,,,,,,,,0,2.0529934,102.5726935,"https://www.google.com/maps/place/WCC+Home+care+Muar/@2.0529934,102.5726935,14z/data=!4m8!1m2!2m1!1sWCC+Home+care+Muar!3m4!1s0x31d1b9e6b1d8299d:0xef14b773bfe20681!8m2!3d2.0529934!4d102.5726935",2026-04-29
Lilly Loving Hut Home Care,lilly-loving-hut-home-care,/facilities/lilly-loving-hut-home-care,,+60 13-781 2289,,Call for pricing,,,,,,,,Yes,4.3,7,1.8628246,102.9311711,"https://www.google.com/maps/place/Lilly+Loving+Hut+Home+Care/@1.8628246,102.9311711,14z/data=!4m8!1m2!2m1!1sLilly+Loving+Hut+Home+Care!3m4!1s0x31d051a8a15b04c5:0x745169850e2f4ac4!8m2!3d1.8628246!4d102.9311711",2026-04-29
