title,state,area,phone,licence_number,licence_expiry,website,email,shared_price,private_price,pricing_display,has_gps,rating,photos,status
Moonlight Care Centre,Perak,,+60125037779,A/PJB WT 017/2019,,,,,,,yes,,no,unverified
Moonlight Care Centre,Perak,,+6055496063,A/PJB WT 053/2022,,,,,,,yes,,no,unverified
Moonlight Care Centre,Perak,,+60125037779,A/PJB WT 004/2020,,,,,,,yes,,no,unverified
Moonlight Care Centre,Perak,,+6055496063,A/PJB WT 045/2024,,,,,,,yes,,no,unverified
MOTHER MARIA SENIOR CARE CENTRE,Negeri Sembilan,,+60136081579,N/PJB WE 24/2024,,,,,,,yes,,no,unverified
MY COMFORT HOME CARE CENTRE,Selangor,,+60122190637,B/PJB WT 003/2025,,,,,,,yes,,no,unverified
MY FATHER'S HOME CARE CENTRE,Selangor,,+60193868890,B/PJBWT 004/2022,,,,,,,yes,,no,unverified
MY KPJ HOME,Pahang,,+6095678588,C/P JB WE 009/2023,,,,,,,yes,,no,unverified
Northern Cherish Care Centre Sdn. Bhd.,Kedah,,+60125638049,K/PJB WT 011/2024,,,,,,,yes,,no,unverified
NORTHERN RETIREMENT CARE CENTRE,Kedah,,+60124548333,K/PJB WT 13/2023,,,,,,,yes,,no,unverified
ONE HOME CARE CENTRE,Sabah,,+60168802631,S/PJBWT/002-2024,,,,,,,yes,,no,unverified
ORCHIDS WELL CARE CENTRE,Negeri Sembilan,,+60126702466,N/PJHWE008/2025,,,,,,,yes,,no,unverified
Osem Care Sdn Bhd,Penang,,+60174878232,P/PJB WT 028/2025,,,,,,,yes,,no,unverified
Our Caring Home Care Centre,Perak,,+60165677565,A/PJB WT 035/2021,,,,,,,yes,,no,unverified
Our Home Care Centre,Perak,,+60195136661,A/PJB WT 056/2021,,,,,,,yes,,no,unverified
PASSION CARE CENTRE,Sabah,,+60138109963,S/PJB WT/001-2020,,,,,,,yes,,no,unverified
"Persatuan Kebajikan Ti-Ratana, Kuala Lumpur",Kuala Lumpur,,+60379881888,W/PJB WT 002/2021,,,,,,,yes,,no,unverified
PERTUBUHAN  PUSAT  AKTIVITI  WARGA EMAS  BESTARI  MACHANG,Kelantan,,+60148023612,D/PJH WE  11/2023,,,,,,,yes,,no,unverified
PERTUBUHAN KEBAJIKAN WARGA EMAS AL-QAID TANGKAK JOHOR,Johor,,+60197735103,J/PJBWE084/2025,,,,,,,yes,,no,unverified
"Pertubuhan Kebajikan Warga Tua ""Anning"" Teluk Intan, Perak",Perak,,+60165554130,A/PJB WT 012/2019,,,,,,,yes,,no,unverified
"Pertubuhan Kebajikan Warga Tua ""Anning"" Teluk Intan, Perak",Perak,,+60165554130,A/PJB WT 012/2019,,,,,,,yes,,no,unverified
Pertubuhan Pengurusan Rumah Kebajikan Warga Emas Sang Riang,Pahang,,+6092556675,C/P JB WE 010/2021,,,,,,,yes,,no,unverified
PERTUBUHAN PUSAT AKTIVITI WARGA EMAS DAERAH KUALA PILAH,Negeri Sembilan,,+60196540079,N/PJHWE009/2025,,,,,,,yes,,no,unverified
PERTUBUHAN PUSAT AKTIVITI WARGA EMAS DAERAH REMBAU,Negeri Sembilan,,+60165328217,N/PJHWE020/2025,,,,,,,no,,no,unverified
PERTUBUHAN PUSAT AKTIVITI WARGA EMAS MENTAKAB,Pahang,,+60129220558,C/PJHWE006/2026,,,,,,,yes,,no,unverified
PERTUBUHAN PUSAT AKTIVITI WARGA EMAS TAMPIN (PAWE),Negeri Sembilan,,+60173138550,N/PJHWE021/2025,,,,,,,no,,no,unverified
"Pertubuhan Wa Khiew Yi Shea Sungai Siput, Perak",Perak,,+60165663869,A/PJB WT 045/2018,,,,,,,yes,,no,unverified
PLEASURE CARE CENTRE (CAWANGAN),Johor,,+60127523136,J/PJBWE053/2025,,,,,,,yes,,no,unverified
PRESTIGE SENIOR CARE CENTRE,Negeri Sembilan,,+60163519444,N/PJB WE 18/2024,,,,,,,yes,,no,unverified
Pure Home Care Centre,Perak,,+60182331128,A/PJB WT 041/2021,,,,,,,yes,,no,unverified
Pure Home Care Centre,Perak,,+60125423770,A/PJB WT 041/2024,,,,,,,yes,,no,unverified
PUSAT  AKTIVITI WARGA  EMAS (PAWE) KEMUMIN,Kelantan,,+6097733023,D/PJH WE  002/2023,,,,,,,yes,,no,unverified
PUSAT  AKTIVITI WARGA EMAS (PAWE) DUNGUN,Terengganu,,+60148348430,T/PJHWE005/2026,,,,,,,no,,no,unverified
PUSAT  AKTIVITI WARGA EMAS (PAWE) KG RAJA  BESUT,Terengganu,,+60199347273,T/PJH WE 026/2023,,,,,,,yes,,no,unverified
PUSAT  AKTIVITI WARGA EMAS (PAWE) MARANG,Terengganu,,+60199455538,,,,,,,,no,,no,unverified
Pusat Aktiviti Warga Emas (PAWE) Daerah Bera,Pahang,,+60132477293,C/PJH WE 016/2023,,,,,,,yes,,no,unverified
PUSAT AKTIVITI WARGA EMAS (PAWE) KOMPLEKS PENYAYANG KUANTAN,Pahang,,+60199521144,C/PJHWE014/2024,,,,,,,yes,,no,unverified
PUSAT AKTIVITI WARGA EMAS BANDAR TUN RAZAK JENGKA,Pahang,,+60199604296,,,,,,,,yes,,no,unverified
PUSAT AKTIVITI WARGA EMAS HULU TERENGGANU,Terengganu,,+601119912238,T/PJ H WE 005/2025,,,,,,,yes,,no,unverified
PUSAT AKTIVITI WARGA EMAS JEMPOL,Negeri Sembilan,,+60176832966,N/PJHWE016/2025,,,,,,,no,,no,unverified
PUSAT AKTIVITI WARGA EMAS KUALA KLAWANG,Negeri Sembilan,,+60196212175,N/PJH WE 28/2024,,,,,,,yes,,no,unverified
PUSAT AKTIVITI WARGA EMAS SIKAMAT,Negeri Sembilan,,+60196207311,N/PJHWE003/2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN AI XIN,Johor,,+60105395593,J/PJB WT 013/2022,,,,,,,no,,no,unverified
PUSAT JAGAAN AISYAH AL-IMAN,Pahang,,+60199888798,PPM-005-06-23022024,,,,,,,yes,,no,unverified
PUSAT JAGAAN AMAN DAMAI,Selangor,,+60129123143,B/PJBWT 010/2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN AN XIE,Kuala Lumpur,,+60122069876,B/PJB WT 018/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Belaian Jiwa,Perak,,+60125846754,A/PJB WE 010/2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN BERKAT KASIH,Kuala Lumpur,,+60122541650,W/PJB WT 007/2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN BETHANY ELDERLY HOME,Johor,,+6074152252,J/PJB WT 021/2023,,,,,,,yes,,no,unverified
Pusat Jagaan Catholic Home Management Services SDN. BHD.,Sarawak,,+6082381262,Q/PJB WT/20/2018,,,,,,,yes,,no,unverified
PUSAT JAGAAN CINTA SAYANG,Kedah,,+60125292686,K/PJB WT 017/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN COMPLETE DELIGHT SDN. BHD (2),Selangor,,+60123495811,B/PJB WT 004/2020,,,,,,,yes,,no,unverified
Pusat Jagaan Darul Hanan Pulau Pinang,Penang,,+60194112884,P/PJB WT 047/2021,,,,,,,yes,,no,unverified
Pusat Jagaan Emas Ipoh,Perak,,+60125918439,A/PJB WT 067/2024,,,,,,,no,,no,unverified
Pusat Jagaan Fortune Senior Care Centre,Pahang,,+60143639119,C/PJBWE011/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN GEMILANG,Kedah,,+601120836564,K/PJB WE002/2026,,,,,,,yes,,no,unverified
Pusat Jagaan Harian Chan,Perak,,+60185766191,A/PJH WT 002/2025,,,,,,,yes,,no,unverified
Pusat Jagaan Harian Pertubuhan Dimensia Perak,Perak,,+60135201220,A/PJH WT 011/2020,,,,,,,yes,,no,unverified
PUSAT JAGAAN HARMONI SEREMBAN,Negeri Sembilan,,+60126727688,N/PJB WT 29/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN HIDAYAH II,Kelantan,,+60139277102,D/PJB WE 002/2021,,,,,,,yes,,no,unverified
Pusat Jagaan Hong Eng,Perak,,+60125800340,A/PJB WT 033/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Indah Harapan,Perak,,+60165570036,A/PJH WT 015/2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN INSAN EMAS NUR HIDAYAH,Johor,,+60196820513,J/PJB WT 014/2025,,,,,,,yes,,no,unverified
PUSAT JAGAAN KANAAN NURSING HOME,Sabah,,+60198811030,S/PJBWT/001-2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN KASEH SAYANG,Selangor,,+60123281811,B/PJB WT 006/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN KASIH ANUGERAH,Selangor,,+60122833034,B/PJB WT 005/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Kasih Rohani,Johor,,+601111241799,J/PJB WT 020/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN KEBAJIKAN WARGA EMAS CHARIS,Negeri Sembilan,,+60173238381,N/PJB WT 07/2022,,,,,,,yes,,no,unverified
Pusat Jagaan Kenneth Care Home (Rodway) PLT,Sarawak,,+60163314493,Q/PJB WT/002/2019,,,,,,,no,,no,unverified
Pusat Jagaan Khang Foo,Perak,,+6052412745,A/PJB WT 048/2022,,,,,,,yes,,no,unverified
Pusat Jagaan Kindhara Sdn Bhd,Johor,,+601172499508,J/PJBWE025/2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN KUANTAN CARE HOME FOR THE AGED,Pahang,,+60199866008,C/PJBWE007/2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN KUANTAN CARE HOME FOR THE AGED (CAWANGAN),Pahang,,+60199866008,C/PJBWE004/2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN LAMAN KASIH AYDEN,Johor,,+60105359914,J/PJB WT 041/2021,,,,,,,yes,,no,unverified
Pusat Jagaan Laman Kasih Ayden,Johor,,+60105359914,J/PJB WT 041/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN LAMAN KASIH BUDI,Terengganu,,+60136865715,T/PJ H WE 003/2025,,,,,,,yes,,no,unverified
PUSAT JAGAAN LOVE & CARE KAJANG 2,Selangor,,+603873338075,B/PJB WT 022/2023,,,,,,,yes,,no,unverified
Pusat Jagaan Loving Care Home,Kedah,,+60122325458,K/PJB WT 07/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN LUCKY CARE HOME,Pahang,,+60139217494,C/PJBWE028/2025,,,,,,,yes,,no,unverified
PUSAT JAGAAN LUTHERAN CARE HOME,Pahang,,+60102962932,C/PJBWE003/2026,,,,,,,yes,,no,unverified
Pusat Jagaan Mahligai Kasih Juju Sdn. Bhd.,Melaka,,+60183714559,M/PJB WT 005 / 2023,,,,,,,no,,no,unverified
Pusat Jagaan Mahligai Kasih Juju Sdn. Bhd.,Melaka,,+60183714559,M/PJB WT 003 / 2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN MAK SWEE (CAWANGAN 1),Johor,,+60166383727,J/PJBWT021/2025,,,,,,,yes,,no,unverified
Pusat Jagaan Mesra Intan,Perak,,+60195112242,A/PJB WT 015/2019,,,,,,,yes,,no,unverified
Pusat Jagaan Mesra Intan,Perak,,+60195112242,A/PJB WT 049/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Mesra Intan Bandaraya,Perak,,+60175252181,A/PJB WE 020/2025,,,,,,,yes,,no,unverified
Pusat Jagaan Mesra Pasir Putih,Perak,,+6053212135,A/PJB WT 056/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN NOLY,Johor,,+60127181888,J/PJB WT 039/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Nur Kasih Abadi,Perak,,+60194433007,A/PJB WT 014/2023,,,,,,,yes,,no,unverified
Pusat Jagaan Orang Tua Berkat,Melaka,,+6065296143,M/PJB WT 019 / 2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN ORANG TUA EN TECK,Johor,,+60167228437,J/PJB WT 10/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Orang Tua Gemilang Riang,Penang,,+60164303638,P/PJB WT 013/2025,,,,,,,yes,,no,unverified
PUSAT JAGAAN ORANG TUA GRANNIES (CAWANGAN),Pahang,,+60139601452,C/P JB WE 021/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN ORANG TUA GRANNIES (CAWANGAN),Pahang,,,C/PJBWE022/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN ORANG TUA LOK LENG,Selangor,,+60123026583,B/PJB WT 008/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN ORANG TUA MAK SWEE,Johor,,+60166383727,J/PJB WT 001/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN ORANG TUA POH LINK,Selangor,,+60342875989,B/PJBWT 007/2022,,,,,,,yes,,no,unverified
Pusat Jagaan Orang-Orang Tua Ikhtiar Selesa Villa,Perak,,+6053212799,A/PJB WT 034/2018,,,,,,,yes,,no,unverified
Pusat Jagaan Orang-Orang Tua Ikhtiar Selesa Villa,Perak,,+60165919377,A/PJB WT 032/2023,,,,,,,yes,,no,unverified
Pusat Jagaan Papa Mama,Perak,,+60165951750,A/PJB WT 007/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN PAWE BENONI,Sabah,,+6088904630,S/PJH WE/01-2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN PAWE PAPAR,Sabah,,+60168258133,S/PJH WE/02-2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERSATUAN KEBAJIKAN BUDDHIST THAN HSIANG KEDAH,Kedah,,+60194429023,K/PJB WE004/2025,,,,,,,no,,no,unverified
PUSAT JAGAAN PERSATUAN KEBAJIKAN BUDDHIST THAN HSIANG KEDAH,Kedah,,+60194429023,K/PJB WE004/2025,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERSATUAN KEBAJIKAN ORANG-ORANG TUA BAHAGIA SELANGOR,Selangor,,+60378656855,B/PJB WT 024/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERSATUAN KEBAJIKAN WARGA EMAS PERMATA (YAN XIN YUAN) MUAR JOHOR,Johor,,+60166832387,J/PJBWE085/2025,,,,,,,no,,no,unverified
Pusat Jagaan Persatuan Mengurus Kebajikan Orang Tua Xin Fu,Penang,,+60124604022,P/PJB WT 009/2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERSATUAN PENJAGAAN KEBAJIKAN SHERUN,Johor,,+60127402499,J/PJBWE 029/2025,,,,,,,yes,,no,unverified
"PUSAT JAGAAN PERSATUAN RUMAH WARGA EMAS KLANG, SELANGOR",Selangor,,+60166874879,B/PJBWT 001/2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERTUBUHAN KEBAJIKAN CHESTER SELANGOR (1),Kuala Lumpur,,+60367345839,B/PJBWT 008/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERTUBUHAN KEBAJIKAN CHESTER SELANGOR (2),Selangor,,+60126990893,B/PJBWT 009/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERTUBUHAN KEBAJIKAN CHESTER SELANGOR (4),Kuala Lumpur,,+60126990893,B/PJB WT 015/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERTUBUHAN KEBAJIKAN KG BARU MENTAKAB,Pahang,,+60169221363,C/PJBWE012/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERTUBUHAN KEBAJIKAN PUSAT AKTIVITI WARGA EMAS (PAWE) KAWANKU BANDAR MERSING,Johor,,+60177515033,J/PJHWT018/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Pertubuhan Kebajikan Rumah Orang-Orang Tua (Islam) Titian Abadi,Perak,,+60134793223,A/PJB WT 008/2022,,,,,,,yes,,no,unverified
Pusat Jagaan Pertubuhan Kebajikan Warga Emas Emmanuel Larut Matang dan Selama Perak,Perak,,+60175191924,A/PJB WT 024/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERTUBUHAN KEBAJIKAN WARGA EMAS XIANG AN KUANTAN PAHANG,Pahang,,+60199851436,C/P JB WE 006/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN PERTUBUHAN KEBAJIKAN WARGA TUA NURUL SAADAH,Terengganu,,+601136397531,T/PJB WT 010/2023,,,,,,,yes,,no,unverified
"Pusat Jagaan Pertubuhan Pengurusan Rumah Warga Tua ""Anning"" Ipoh, Perak",Perak,,+60125201160,A/PJB WT 002/2021,,,,,,,yes,,no,unverified
Pusat Jagaan Pertubuhan Wa Khiew Yi Shea,Perak,,+60165231388,A/PJB WT 068/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Qaseh Murni,Perak,,+60125056449,A/PJB WE 012/2025,,,,,,,no,,no,unverified
PUSAT JAGAAN RAMYA BALAN,Johor,,+60102357446,J/PJB WT 011/2022,,,,,,,yes,,no,unverified
Pusat Jagaan Rapat,Perak,,+60165561360,A/PJB WT 018/2019,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH MENTARI (WARGA EMAS LELAKI/ BERPENYAKIT),Kedah,,+60194264381,K/PJH KK007/2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH MENTARI (WARGA EMAS LELAKI/BERPENYAKIT),Kedah,,+6044931033,K/PJB WT 007/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH MENTARI (WARGA EMAS WANITA),Kedah,,+60194264381,K/PJB WT 015/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH ORANG TUA BUKIT BETHEL(BETHEL HILL OLD FOLKS HOME),Kedah,,+60194771119,K/PJH KK030/2025,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH ORANG TUA GABUNGAN PERSATUAN-PERSATUAN TIONGHUA KUANTAN,Pahang,,+60148479083,C/P JB WE 013/2020,,,,,,,yes,,no,unverified
Pusat Jagaan Rumah Orang Tua Jubli Perak,Penang,,+60124808292,P/PJB WT 016/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH ORANG TUA SERI KEMBANGAN,Selangor,,+60163947296,B/PJB WT 007/2025,,,,,,,yes,,no,unverified
Pusat Jagaan Rumah Orang-Orang Tua (PKK) Simee,Perak,,+6055452449,A/PJB WT 046/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH ORANG-ORANG TUA SERI SETIA,Selangor,,+60378769233,B/PJBWT 003/2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH SEJAHTERA BATU BERTANGKUP,Perlis,,+60145644937,R/PJB WT 010/2021,,,,,,,yes,,no,unverified
Pusat Jagaan Rumah Sejahtera Bentong,Pahang,,+6092234845,C/PJB WE 010/2022,,,,,,,yes,,no,unverified
Pusat Jagaan Rumah Sejahtera Gopeng,Perak,,+60125896315,A/PJB WT 028/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Rumah Sejahtera Jelapang,Perak,,+6055262209,A/PJB WT 008/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH SEJAHTERA JIMAH,Negeri Sembilan,,+60193403004,N/ PJB WT 07/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH SEJAHTERA KAKI BUKIT,Perlis,,+60123318421,R/PJB WT 004 /2021,,,,,,,yes,,no,unverified
Pusat Jagaan Rumah Sejahtera Langkap,Perak,,+60125509653,A/PJB WT 035/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Rumah Sejahtera Mambang Diawan,Perak,,+60165447877,A/PJB WT 027/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Rumah Sejahtera Permatang Tinggi,Penang,,+6045887080,P/PJB WT 026/2025,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH SEJAHTERA POKOK SENA,Kedah,,+6047332737,K/PJB WT 020/2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN RUMAH SEJAHTERA SIKAMAT,Negeri Sembilan,,+6067642082,N/PJB WT 16/2020,,,,,,,yes,,no,unverified
Pusat Jagaan Rumah Seri Bahagia (Lucky Village Home),Perak,,+6053120997,A/PJB WT 035/2022,,,,,,,yes,,no,unverified
Pusat Jagaan Rumah Warga Emas Marian,Perak,,+6054658424,A/PJB WT 076/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN SARA'S HOME FOR THE AGED,Pahang,,,C/PJBWE039/2025,,,,,,,yes,,no,unverified
Pusat Jagaan Seavoy,Kuala Lumpur,,+60341084700,W/PJB WT 002/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Seri Bercham,Perak,,+60165677565,A/PJB WT 048/2018,,,,,,,yes,,no,unverified
Pusat Jagaan Seri Bercham,Perak,,+6055450694,A/PJB WT 015/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Seri Cahaya,Perak,,+60165677565,A/PJB WT 036/2021,,,,,,,yes,,no,unverified
Pusat Jagaan Seri Damai,Perak,,+60125152759,A/PJB WT 026/2019,,,,,,,yes,,no,unverified
Pusat Jagaan Seri Damai,Perak,,+60125152759,A/PJB WT 047/2024,,,,,,,yes,,no,unverified
Pusat Jagaan Sibu Benevolent Society,Sarawak,,+6084311936,Q/PJB WT/10/2017,,,,,,,yes,,no,unverified
Pusat Jagaan Sinar Berkat,Perak,,+60164404917,A/PJB WT 043/2023,,,,,,,yes,,no,unverified
Pusat Jagaan Sinar Berkat,Perak,,+60164404917,A/PJB WE 004/2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN SINAR KASIH (CAWANGAN),Johor,,+601112880872,J/PJB WT 019/2022,,,,,,,yes,,no,unverified
Pusat Jagaan Sinec,Melaka,,+60127821138,M/PJB WE 014 / 2024,,,,,,,yes,,no,unverified
Pusat Jagaan St Mary's Aged,Kuala Lumpur,,+60123937283,W/PJB WT 009/2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN SUNNYVIEW RESIDENCE,Kedah,,+60124217442,K/PJB WT 14/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN SUPERFUN PUSAT REKREASI WARGA TUA,Kedah,,+6047335757,K/PJB WE 008/2020,,,,,,,yes,,no,unverified
PUSAT JAGAAN SUSAN VILLA AGED CARE,Pahang,,+6095606388,C/PJBWE022/2025,,,,,,,yes,,no,unverified
Pusat Jagaan Sutera,Perak,,+60124147723,A/PJB WE 050/2025,,,,,,,yes,,no,unverified
Pusat Jagaan Trinity Eldercare Berhad,Sarawak,,+6082410722,Q/PJHWT/001/2021,,,,,,,yes,,no,unverified
Pusat Jagaan Waja Tulus,Perak,,+60174861128,A/PJB WT 019/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS (CINA) SABAK BERNAM,Selangor,,+60193339741,B/PJB WT 003/2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS AL IKHLAS,Kedah,,+601169715398,K/PJB WT 013/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS DAN TERAPI FITRAH,Negeri Sembilan,,+60136649757,N/PJB WT 11/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS DAN TERAPI FITRAH (CAWANGAN),Negeri Sembilan,,+60136649757,N/PJB WE 17/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS GERBANG DZUNNURAYN,Negeri Sembilan,,+60123156823,N/PJB WE 27/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS IMPIAN MURNI KULIM,Kedah,,+60124218986,K/PJB WT 018/2020,,,,,,,yes,,no,unverified
Pusat Jagaan Warga Emas Intan (Cawangan),Penang,,+60194111923,P/PJB WT 012/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS OASIS (2),Selangor,,+601139336294,B/PJB WT 011/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS PEWARIS LANGKASUKA,Kedah,,+60124297510,K/PJB WE 004/2026,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS RUMAH BUKIT HARMONI,Selangor,,+60106606388,B/PJBWT 013/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS UMMI ZAINAB,Kelantan,,+60139393553,D/PJB WE 003/2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA EMAS VR MELODIES,Selangor,,+60127761465,B/PJB WT 017/2025,,,,,,,yes,,no,unverified
"PUSAT JAGAAN WARGA EMAS WEN ZHAO, KLANG",Selangor,,+60139609330,B/PJBWT 011/2023,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA ISTIMEWA WANITA,Johor,,+60197799700,J/PJB WT 030/2022,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA RIA BAHAGIA,Johor,,+60127878813,J/PJBWE048/2025,,,,,,,yes,,no,unverified
"Pusat Jagaan Warga Tua Manjung, Perak",Perak,,+6056879055,A/PJB WT 067/2021,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA TUA SINAR KEBAHAGIAAN,Johor,,+601111405468,J/PJB WT 08/2024,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA TUA SRI ORKID (CAWANGAN),Johor,,+60167707576,J/PJBWE078/2025,,,,,,,yes,,no,unverified
PUSAT JAGAAN WARGA USIA EMAS TONG SIM,Negeri Sembilan,,+60163712228,N/PJBWE043/2025,,,,,,,yes,,no,unverified
PUSAT JAGAAN WONG & CHONG SDN. BHD.,Negeri Sembilan,,+60193133881,N/PJBWE019/2025,,,,,,,yes,,no,unverified
PUSAT JAGAAN WONG & CHONG SDN. BHD.,Negeri Sembilan,,+60193133881,N/PJBWE018/2025,,,,,,,yes,,no,unverified
Pusat Jagaan Yayasan Teratai,Perak,,+60165345679,A/PJB WT 041/2022,,,,,,,yes,,no,unverified
Pusat Penjagaan Ceria,Penang,,+60175032399,P/PJB WT 026/2022,,,,,,,yes,,no,unverified
Qualicare Senior Citizens Home,Perak,,+60125067998,A/PJB WT 023/2019,,,,,,,yes,,no,unverified
Qualicare Senior Citizens Home Care Centre,Perak,,+601154134996,A/PJB WT 038/2024,,,,,,,yes,,no,unverified
Qualicare Senior Citizens Home Care Centre,Perak,,+60125067998,A/PJB WT 051/2024,,,,,,,yes,,no,unverified
RAINBOW SENIOR CARE CENTRE,Kedah,,+60184076008,K/PJB WT 010/2020,,,,,,,yes,,no,unverified
Recovering Home Care Centre,Perak,,+60125380719,A/PJB WT 004/2024,,,,,,,yes,,no,unverified
RED SPOT HOME CARE CENTRE,Negeri Sembilan,,+60163503690,N/PJB WT 16/2023,,,,,,,yes,,no,unverified
Rejuvenate Elderly Care Centre,Kuala Lumpur,,+60122980206,W/PJB WT 022/2023,,,,,,,yes,,no,unverified
Rumah Jagaan Warga Emas JC,Pahang,,+601126708613,C/PJB WE 002/2023,,,,,,,yes,,no,unverified
Rumah Orang Tua Uzur Pulau Pinang,Penang,,+60164100797,P/PJB WT 048/2021,,,,,,,yes,,no,unverified
Safe Homecare Centre,Sabah,,+601110211902,S/PJBWT/003-2024,,,,,,,yes,,no,unverified
SAHABATS CARE CENTRE SDN BHD,Johor,,+60127373725,J/PJB WT 006/2023,,,,,,,yes,,no,unverified
Sarawak Hun Nam Siang Tng Care Centre,Sarawak,,+6082332872,Q/PJB WT/003/2020,,,,,,,yes,,no,unverified
Senior Garden Elderly Care Centre Sdn. Bhd.,Melaka,,+6062899587,M/PJB WT 011 / 2023,,,,,,,yes,,no,unverified
Senior Garden Elderly Care Centre Sdn. Bhd.,Melaka,,+6062810139,M/PJB WT  006 / 2023,,,,,,,yes,,no,unverified
Serene Care Centre,Perak,,+60165353246,A/PJB WT 080/2021,,,,,,,yes,,no,unverified
Serene Sanctuary Care Centre,Perak,,+60165651828,A/A/PJB WT 062/2024,,,,,,,yes,,no,unverified
Shalom Care Centre,Melaka,,+6063151326,M/PJB WT 016 / 2022,,,,,,,yes,,no,unverified
