title,slug,url,area,phone,website,pricing_display,shared_price,private_price,care_types,services,religion,languages,subsidy,wheelchair,rating,review_count,latitude,longitude,google_maps_url,last_updated,halal,ownership_type,licence_number,whatsapp,facebook,care_nursing,care_dementia,care_palliative,care_rehab,care_respite,care_assisted,rn_24_7,doctor_visits,nurse_ratio_day,nurse_ratio_night,medical_physio,medical_ot,medical_wound,medical_peg,medical_dementia_unit,medical_dialysis,medical_oxygen,medical_meds,total_beds,availability,four_bed_price,dorm_price,visiting_hours,parking,editorial_summary,hero_image,photos,photo_count,state,status,care_category,service_type,license_category,license_number,license_verification_date,license_expiry,license_expiry_warning,acuity_level,nurse_in_charge,doctor_visit_frequency,pricing_model,hidden_costs,sg_transfer_ready,verification_tier,last_verified_on,verified_by,evidence_ref,outreach_status,outreach_last_attempt,outreach_notes,tier_2_review_pending,deactivation_reason,remarks,screened_date,screened_by
Golden Apple Senior Citizen Care Centre,golden-apple-senior-citizen-care-centre,,,+60143029933,,,,,Elderly Care,,,,,,,,4.5352581,101.0804368,"http://maps.google.com/?q=4.5352581 ,101.0804368",2026-05-07,,,A/PJB WT 044/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN CARE CENTRE,golden-care-centre,,,,,,,,Elderly Care,,,,,,,,6.1424535,100.3423399,"http://maps.google.com/?q=6.1424535,100.3423399",2026-05-07,,,K/PJB WE 016/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kedah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Eldercare Senior Living Care Centre PLT,golden-eldercare-senior-living-care-centre-plt,,,+60149276960,,,,,Elderly Care,,,,,,,,4.01119,101.02042,"http://maps.google.com/?q=4.01119, 101.02042",2026-05-07,,,A/PJB WE 010/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Eldercare Senior Living Care Centre PLT,golden-eldercare-senior-living-care-centre-plt,,,+60149276960,,,,,Elderly Care,,,,,,,,4.012257,101.035436,"http://maps.google.com/?q=4.012257, 101.035436",2026-05-07,,,A/PJH WE 009/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Home Elderly Care Centre,golden-home-elderly-care-centre,,,+60149451986,,,,,Elderly Care,,,,,,,,5.41155,100.38440,"http://maps.google.com/?q=5.41155 ,100.38440",2026-05-07,,,P/PJB WT 002/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Living Care Centre Sdn Bhd,golden-living-care-centre-sdn-bhd,,,+60124888868,,,,,Elderly Care,,,,,,,,5.425647,100.312357,"http://maps.google.com/?q=5.425647 ,100.312357",2026-05-07,,,P/PJB WT 014/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN ROOTS ELDER CARE CENTRE,golden-roots-elder-care-centre,,,+60378656228,,,,,Elderly Care,,,,,,,,3.1095843,101.6145035,http://maps.google.com/?q=3.1095843	101.6145035,2026-05-07,,,B/PJB WT 018/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN ROOTS ELDER CARE CENTRE (2),golden-roots-elder-care-centre-2,,,+60108818806,,,,,Elderly Care,,,,,,,,3.1096,101.61425,"http://maps.google.com/?q=3.1096	 ,101.61425",2026-05-07,,,B/PJB WT 015/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Good Care Centre,good-care-centre,,,+60165445229,,,,,Elderly Care,,,,,,,,4.4893,101.0212,"http://maps.google.com/?q=4.4893, 101.0212",2026-05-07,,,A/PJB WE 033/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Care Centre,grace-care-centre,,,+60125063460,,,,,Elderly Care,,,,,,,,4.6285345,101.1295453,"http://maps.google.com/?q=4.6285345 ,101.1295453",2026-05-07,,,A/PJB WT 005/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
GRACE OLD FOLKS HOME CARE CENTRE,grace-old-folks-home-care-centre,,,+60128276288,,,,,Elderly Care,,,,,,,,5.9933281,116.1084086,"http://maps.google.com/?q=5.9933281 ,116.1084086",2026-05-07,,,S/PJBWT/001-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
GRACE OLD FOLKS HOME CARE CENTRE,grace-old-folks-home-care-centre,,,+60128276288,,,,,Elderly Care,,,,,,,,5.993477476680765,116.11064020971529,"http://maps.google.com/?q=5.993477476680765, 116.11064020971529",2026-05-07,,,S/PJB WT/01-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
GRACEVILLE SENIOR CARE CENTRE,graceville-senior-care-centre,,,+6069524950,,,,,Elderly Care,,,,,,,,2.067902,102.604699,"http://maps.google.com/?q=2.067902 ,102.604699",2026-05-07,,,J/PJB WT 007/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Green Garden Care Centre Sdn. Bhd,green-garden-care-centre-sdn-bhd,,,+60127314888,,,,,Elderly Care,,,,,,,,1.4264716739683458,103.46905890637562,"http://maps.google.com/?q=1.4264716739683458, 103.46905890637562",2026-05-07,,,J/PJBWE014/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Green Gates Care Centre,green-gates-care-centre,,,+6055486838,,,,,Elderly Care,,,,,,,,4.6016318,101.1051534,"http://maps.google.com/?q=4.6016318 ,101.1051534",2026-05-07,,,A/PJB WT 025/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Green Gates Elderly Care Centre,green-gates-elderly-care-centre,,,+6055467832,,,,,Elderly Care,,,,,,,,4.613152,101.1022412,"http://maps.google.com/?q=4.613152 ,101.1022412",2026-05-07,,,A/PJB WT 026/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN MEDICARE HOUSE CARE CENTRE,green-medicare-house-care-centre,,,+60126801505,,,,,Elderly Care,,,,,,,,3.088552,101.6146774,"http://maps.google.com/?q=3.088552,	 ,101.6146774,",2026-05-07,,,B/PJBWT 001/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
GRG Senior Care Centre,grg-senior-care-centre,,,+6055461223,,,,,Elderly Care,,,,,,,,4.6041401,101.1052382,"http://maps.google.com/?q=4.6041401 ,101.1052382",2026-05-07,,,A/PJB WT 023/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPINESS HOME CARE CENTRE PLT,happiness-home-care-centre-plt,,,+60123517806,,,,,Elderly Care,,,,,,,,2.71709,101.95200,"http://maps.google.com/?q=2.71709 ,101.95200",2026-05-07,,,N/PJBWE022/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPY LIFE CARE CENTRE,happy-life-care-centre,,,+60166025045,,,,,Elderly Care,,,,,,,,2.70039,101.94136,"http://maps.google.com/?q=2.70039 ,101.94136",2026-05-07,,,N/PJB WE 11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPY LIFE CARE CENTRE (CAWANGAN),happy-life-care-centre-cawangan,,,+60138347054,,,,,Elderly Care,,,,,,,,2.70030,101.94149,"http://maps.google.com/?q=2.70030 ,101.94149",2026-05-07,,,N/PJB WT 04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Old Folk Care Centre,happy-old-folk-care-centre,,,+60163159778,,,,,Elderly Care,,,,,,,,3.19706,101.64963,"http://maps.google.com/?q=3.19706 ,101.64963",2026-05-07,,,W/PJB WT 019/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Old Folks Care Centre,happy-old-folks-care-centre,,,+60165951750,,,,,Elderly Care,,,,,,,,4.6124544,101.0711013,"http://maps.google.com/?q=4.6124544 ,101.0711013",2026-05-07,,,A/PJB WT 043/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Old Folks Care Centre,happy-old-folks-care-centre,,,+60165951750,,,,,Elderly Care,,,,,,,,4.612467,101.0757183,"http://maps.google.com/?q=4.612467 ,101.0757183",2026-05-07,,,A/PJB WT 021/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Old Folks Home,happy-old-folks-home,,,+60165951750,,,,,Elderly Care,,,,,,,,4.6124145,101.0736419,"http://maps.google.com/?q=4.6124145 ,101.0736419",2026-05-07,,,A/PJB WT 011/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Retirement Home Care Centre,happy-retirement-home-care-centre,,,,,,,,Elderly Care,,,,,,,,5.54710,100.47170,"http://maps.google.com/?q=5.54710, 100.47170",2026-05-07,,,P/PJB WT 005/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
HOLY FAMILY RESIDENCE FOR SENIOR CITIZENS,holy-family-residence-for-senior-citizens,,,+60138709800,,,,,Elderly Care,,,,,,,,5.6917912,115.9929451,"http://maps.google.com/?q=5.6917912 ,115.9929451",2026-05-07,,,S/PJB WT/002-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSE OF MEGAWAY CARE CENTRE (CAW),house-of-megaway-care-centre-caw,,,+60196219723,,,,,Elderly Care,,,,,,,,,,,2026-05-07,,,N/PJB WE 19/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSE OF MEGAWAYS CARE CENTRE,house-of-megaways-care-centre,,,+60196219723,,,,,Elderly Care,,,,,,,,2.69835,101.93301,"http://maps.google.com/?q=2.69835 ,101.93301",2026-05-07,,,N/PJB WT 07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
HPY Old Folk Care Centre,hpy-old-folk-care-centre,,,+60122262218,,,,,Elderly Care,,,,,,,,3.19117,101.64564,"http://maps.google.com/?q=3.19117 ,101.64564",2026-05-07,,,W/PJB WT 018/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
HUAIDER CARE CENTRE,huaider-care-centre,,,+60189602883,,,,,Elderly Care,,,,,,,,3.02768,101.75032,"http://maps.google.com/?q=3.02768	 ,101.75032",2026-05-07,,,B/PJB WT 007/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
I HOME CARE CENTER,i-home-care-center,,,+601165165605,,,,,Elderly Care,,,,,,,,1.484520,102.956872,"http://maps.google.com/?q=1.484520 ,102.956872",2026-05-07,,,J/PJBWE 069/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Ideal Care Centre,ideal-care-centre,,,+60165570036,,,,,Elderly Care,,,,,,,,4.551222,101.1023144,"http://maps.google.com/?q=4.551222 ,101.1023144",2026-05-07,,,A/PJB WT 049/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
IG Care Centre,ig-care-centre,,,+60126942882,,,,,Elderly Care,,,,,,,,4.6052995,101.1194036,"http://maps.google.com/?q=4.6052995 ,101.1194036",2026-05-07,,,A/PJB WT 020/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Jawi Care Centre,jawi-care-centre,,,+60175802909,,,,,Elderly Care,,,,,,,,5.229471,100.502804,"http://maps.google.com/?q=5.229471 ,100.502804",2026-05-07,,,P/PJBWT043/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
JJ Blessing Care Centre,jj-blessing-care-centre,,,+601123762202,,,,,Elderly Care,,,,,,,,3.06698,101.67657,"http://maps.google.com/?q=3.06698 ,101.67657",2026-05-07,,,W/PJB WT 009/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
JOYFUL HOME ELDERLY CARE CENTRE,joyful-home-elderly-care-centre,,,+60169287123,,,,,Elderly Care,,,,,,,,3.0692951,101.7581177,"http://maps.google.com/?q=3.0692951	 ,101.7581177",2026-05-07,,,B/PJB WT 012/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
JOYHAVEN SENIOR CARE CENTRE,joyhaven-senior-care-centre,,,+60162700469,,,,,Elderly Care,,,,,,,,3.1114525,101.6413587,"http://maps.google.com/?q=3.1114525,	101.6413587",2026-05-07,,,B/PJB WT 001/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Joyous Spring Sdn. Bhd. Care Centre,joyous-spring-sdn-bhd-care-centre,,,+60,,,,,Elderly Care,,,,,,,,2.2492978,102.2382384,"http://maps.google.com/?q=2.2492978 ,102.2382384",2026-05-07,,,M/PJH WE 029 / 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaka,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
JR Pro Care Centre,jr-pro-care-centre,,,+60109088522,,,,,Elderly Care,,,,,,,,3.0670,101.67070,"http://maps.google.com/?q=3.0670,101.67070",2026-05-07,,,W/PJB WE 009/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
KAI XIN HOME CARE CENTRE,kai-xin-home-care-centre,,,+60166136619,,,,,Elderly Care,,,,,,,,3.0763023,101.7785396,"http://maps.google.com/?q=3.0763023,	 ,101.7785396",2026-05-07,,,B/PJB WT 017/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Keepers Dementia Care Centre Sdn Bhd,keepers-dementia-care-centre-sdn-bhd,,,+60124255695,,,,,Elderly Care,,,,,,,,5.38410,100.39552,"http://maps.google.com/?q=5.38410 ,100.39552",2026-05-07,,,P/PJB WT 016/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Keepers Medi Care Centre Sdn Bhd,keepers-medi-care-centre-sdn-bhd,,,+60124255695,,,,,Elderly Care,,,,,,,,5.41745,100.29015,"http://maps.google.com/?q=5.41745, 100.29015",2026-05-07,,,P/PJB WT 032/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Kindnest Care Centre,kindnest-care-centre,,,+60174857361,,,,,Elderly Care,,,,,,,,3.07601,101.69564,"http://maps.google.com/?q=3.07601 ,101.69564",2026-05-07,,,W/PJB WT 015/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Labuan Aged Care Centre,labuan-aged-care-centre,,,+60198811030,,,,,Elderly Care,,,,,,,,5.3292576,115.1955961,"http://maps.google.com/?q=5.3292576 ,115.1955961",2026-05-07,,,L/PJH WE 001/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labuan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
LECADIA PRIMA CARE CENTRE SDN BHD,lecadia-prima-care-centre-sdn-bhd,,,+60392220107,,,,,Elderly Care,,,,,,,,3.1326563,101.7150964,"http://maps.google.com/?q=3.1326563 ,101.7150964",2026-05-07,,,W/PJB WT 005/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Leisure Health Care Centre Sdn Bhd,leisure-health-care-centre-sdn-bhd,,,+60124940425,,,,,Elderly Care,,,,,,,,5.340589,100.45850,"http://maps.google.com/?q=5.340589 ,100.45850",2026-05-07,,,P/PJB WT 036/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Leisure Ville Care Centre,leisure-ville-care-centre,,,+60125067404,,,,,Elderly Care,,,,,,,,4.5942979,101.0905423,"http://maps.google.com/?q=4.5942979	 ,101.0905423",2026-05-07,,,A/PJB WT 025/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Light Divine Old Folks Care Centre,light-divine-old-folks-care-centre,,,+60146326983,,,,,Elderly Care,,,,,,,,4.1992043,100.6937877,"http://maps.google.com/?q=4.1992043 ,100.6937877",2026-05-07,,,A/PJB WT 013/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE SISTERS OF THE POOR,little-sisters-of-the-poor,,,+601113089955,,,,,Elderly Care,,,,,,,,3.10443,101.73675,"http://maps.google.com/?q=3.10443 ,101.73675",2026-05-07,,,W/PJB WT 002/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Little Sisters Of The Poor,little-sisters-of-the-poor,,,+6048283437,,,,,Elderly Care,,,,,,,,5.40232,100.29633,"http://maps.google.com/?q=5.40232 ,100.29633",2026-05-07,,,P/PJB WT 052/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUS CARE CENTRE,lotus-care-centre,,,+60379491881,,,,,Elderly Care,,,,,,,,3.05579,101.38491,"http://maps.google.com/?q=3.05579	 ,101.38491",2026-05-07,,,B/PJBWT 004/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus Geriatric Care Centre,lotus-geriatric-care-centre,,,+60165555579,,,,,Elderly Care,,,,,,,,4.3008074,100.557061,"http://maps.google.com/?q=4.3008074 ,100.557061",2026-05-07,,,A/PJB WT 034/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus Geriatric Care Centre,lotus-geriatric-care-centre,,,+6056216375,,,,,Elderly Care,,,,,,,,4.0256897,101.0251836,"http://maps.google.com/?q=4.0256897 ,101.0251836",2026-05-07,,,A/PJB WT 068/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus Geriatric Care Centre,lotus-geriatric-care-centre,,,+60165555579,,,,,Elderly Care,,,,,,,,4.2133719,100.686805,"http://maps.google.com/?q=4.2133719 ,100.686805",2026-05-07,,,A/PJB WT 004/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Lovely Villa Care Centre,lovely-villa-care-centre,,,+60125802213,,,,,Elderly Care,,,,,,,,4.6037026,101.1160916,"http://maps.google.com/?q=4.6037026 ,101.1160916",2026-05-07,,,A/PJB WT 060/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Loving Care Centre,loving-care-centre,,,+60105088191,,,,,Elderly Care,,,,,,,,2.2583655,102.2549504,"http://maps.google.com/?q=2.2583655 ,102.2549504",2026-05-07,,,M/PJB WT 023 / 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaka,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Lyna Care Centre,lyna-care-centre,,,+6062810702,,,,,Elderly Care,,,,,,,,2.2241887,102.2724527,"http://maps.google.com/?q=2.2241887 ,102.2724527",2026-05-07,,,M/PJB WE  010 / 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaka,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
M.Y. Comfort Home Care Centre,my-comfort-home-care-centre,,,+60123837741,,,,,Elderly Care,,,,,,,,3.12010,101.64357,"http://maps.google.com/?q=3.12010 ,101.64357",2026-05-07,,,W/PJB WT 004/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MADAM YAP CARE CENTRE,madam-yap-care-centre,,,+60126702466,,,,,Elderly Care,,,,,,,,2.70099,101.95627,"http://maps.google.com/?q=2.70099 ,101.95627",2026-05-07,,,N/PJB WT 08/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MADRE CARE CENTRE,madre-care-centre,,,+60163219157,,,,,Elderly Care,,,,,,,,2.68719,101.96755,"http://maps.google.com/?q=2.68719, 101.96755",2026-05-07,,,N/PJBWE002/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MAMA PAPA HOME CARE CENTRE,mama-papa-home-care-centre,,,+60162107049,,,,,Elderly Care,,,,,,,,3.06548,101.68253,"http://maps.google.com/?q=3.06548 ,101.68253",2026-05-07,,,W/PJB WT 004/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MAREEA CARE CENTRE,mareea-care-centre,,,+60106669408,,,,,Elderly Care,,,,,,,,1.8551415,102.9460391,"http://maps.google.com/?q=1.8551415 ,102.9460391",2026-05-07,,,J/PJB WT 025/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Medifa Home Care Centre,medifa-home-care-centre,,,+60172413007,,,,,Elderly Care,,,,,,,,3.9946701,101.0180794,"http://maps.google.com/?q=3.9946701 ,101.0180794",2026-05-07,,,A/PJB WT 026/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MERCY SENIOR CARE CENTRE,mercy-senior-care-centre,,,+60126046615,,,,,Elderly Care,,,,,,,,2.74261,101.94069,"http://maps.google.com/?q=2.74261 ,101.94069",2026-05-07,,,N/PJB WT 12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MERCY SENIOR CARE CENTRE SDN BHD,mercy-senior-care-centre-sdn-bhd,,,+6066328828,,,,,Elderly Care,,,,,,,,2.70112,101.96033,"http://maps.google.com/?q=2.70112, 101.96033",2026-05-07,,,N/PJB028/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MERIAN WELLBEING AGED CARE CENTRE,merian-wellbeing-aged-care-centre,,,+60331234491,,,,,Elderly Care,,,,,,,,2.9051451,101.4638857,"http://maps.google.com/?q=2.9051451,	101.4638857",2026-05-07,,,B/PJB WT 002/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Merry Care Centre,merry-care-centre,,,+60123711318,,,,,Elderly Care,,,,,,,,3.20406,101.64803,"http://maps.google.com/?q=3.20406 ,101.64803",2026-05-07,,,W/PJB WT 016/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MOON CARE CENTRE SDN BHD (CAWANGAN KEDUA),moon-care-centre-sdn-bhd-cawangan-kedua,,,+60193694461,,,,,Elderly Care,,,,,,,,5.7023615,100.3423597,"http://maps.google.com/?q=5.7023615,100.3423597",2026-05-07,,,K/PJB WE019/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kedah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Moonlight Care Centre,moonlight-care-centre,,,+60125037779,,,,,Elderly Care,,,,,,,,4.6009537,101.1086084,"http://maps.google.com/?q=4.6009537 ,101.1086084",2026-05-07,,,A/PJB WT 017/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Moonlight Care Centre,moonlight-care-centre,,,+6055496063,,,,,Elderly Care,,,,,,,,4.6007976,101.0941234,"http://maps.google.com/?q=4.6007976 ,101.0941234",2026-05-07,,,A/PJB WT 053/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Moonlight Care Centre,moonlight-care-centre,,,+60125037779,,,,,Elderly Care,,,,,,,,4.565713,101.077424,"http://maps.google.com/?q=4.565713 ,101.077424",2026-05-07,,,A/PJB WT 004/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Moonlight Care Centre,moonlight-care-centre,,,+6055496063,,,,,Elderly Care,,,,,,,,4.600959,101.1082168,"http://maps.google.com/?q=4.600959 ,101.1082168",2026-05-07,,,A/PJB WT 045/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHER MARIA SENIOR CARE CENTRE,mother-maria-senior-care-centre,,,+60136081579,,,,,Elderly Care,,,,,,,,2.71035,101.94703,"http://maps.google.com/?q=2.71035 ,101.94703",2026-05-07,,,N/PJB WE 24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
MY COMFORT HOME CARE CENTRE,my-comfort-home-care-centre,,,+60122190637,,,,,Elderly Care,,,,,,,,3.1234066,101.6314301,"http://maps.google.com/?q=3.1234066,	101.6314301",2026-05-07,,,B/PJB WT 003/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
